Cutoff	TP	TN	FP	FN	Accuracy	Precision	Recall	F1-Score	Specificity	Sensitivity
0.0	20128	0	20128	0	0.5000	0.5000	1.0000	0.6667	0.0000	1.0000
0.05	20128	11	20117	0	0.5003	0.5001	1.0000	0.6668	0.0005	1.0000
0.1	20125	104	20024	3	0.5025	0.5013	0.9999	0.6678	0.0052	0.9999
0.15000000000000002	20102	426	19702	26	0.5099	0.5050	0.9987	0.6708	0.0212	0.9987
0.2	20054	1029	19099	74	0.5237	0.5122	0.9963	0.6766	0.0511	0.9963
0.25	19996	1859	18269	132	0.5429	0.5226	0.9934	0.6849	0.0924	0.9934
0.30000000000000004	19861	2881	17247	267	0.5649	0.5352	0.9867	0.6940	0.1431	0.9867
0.35000000000000003	19660	4039	16089	468	0.5887	0.5499	0.9767	0.7037	0.2007	0.9767
0.4	19374	5307	14821	754	0.6131	0.5666	0.9625	0.7133	0.2637	0.9625
0.45	19037	6571	13557	1091	0.6361	0.5841	0.9458	0.7222	0.3265	0.9458
0.5	18660	7822	12306	1468	0.6578	0.6026	0.9271	0.7304	0.3886	0.9271
0.55	18159	9088	11040	1969	0.6768	0.6219	0.9022	0.7363	0.4515	0.9022
0.6000000000000001	17642	10190	9938	2486	0.6914	0.6397	0.8765	0.7396	0.5063	0.8765
0.65	17127	11227	8901	3001	0.7043	0.6580	0.8509	0.7421	0.5578	0.8509
0.7000000000000001	16539	12193	7935	3589	0.7137	0.6758	0.8217	0.7416	0.6058	0.8217
0.75	15944	13098	7030	4184	0.7214	0.6940	0.7921	0.7398	0.6507	0.7921
0.8	15302	13872	6256	4826	0.7247	0.7098	0.7602	0.7342	0.6892	0.7602
0.8500000000000001	14676	14551	5577	5452	0.7260	0.7246	0.7291	0.7269	0.7229	0.7291
0.9	14070	15164	4964	6058	0.7262	0.7392	0.6990	0.7186	0.7534	0.6990
0.9500000000000001	13423	15693	4435	6705	0.7233	0.7517	0.6669	0.7067	0.7797	0.6669
1.0	12789	16170	3958	7339	0.7194	0.7637	0.6354	0.6936	0.8034	0.6354
1.05	12123	16598	3530	8005	0.7135	0.7745	0.6023	0.6776	0.8246	0.6023
1.1	11526	16970	3158	8602	0.7079	0.7849	0.5726	0.6622	0.8431	0.5726
1.1500000000000001	10954	17301	2827	9174	0.7019	0.7949	0.5442	0.6461	0.8595	0.5442
1.2000000000000002	10385	17588	2540	9743	0.6949	0.8035	0.5159	0.6284	0.8738	0.5159
1.25	9801	17862	2266	10327	0.6872	0.8122	0.4869	0.6089	0.8874	0.4869
1.3	9225	18089	2039	10903	0.6785	0.8190	0.4583	0.5877	0.8987	0.4583
1.35	8698	18289	1839	11430	0.6704	0.8255	0.4321	0.5673	0.9086	0.4321
1.4000000000000001	8199	18473	1655	11929	0.6626	0.8320	0.4073	0.5469	0.9178	0.4073
1.4500000000000002	7717	18637	1491	12411	0.6547	0.8381	0.3834	0.5261	0.9259	0.3834
1.5	7257	18779	1349	12871	0.6468	0.8432	0.3605	0.5051	0.9330	0.3605
1.55	6856	18912	1216	13272	0.6401	0.8494	0.3406	0.4862	0.9396	0.3406
1.6	6443	19025	1103	13685	0.6327	0.8538	0.3201	0.4656	0.9452	0.3201
1.6500000000000001	6026	19126	1002	14102	0.6248	0.8574	0.2994	0.4438	0.9502	0.2994
1.7000000000000002	5625	19215	913	14503	0.6171	0.8604	0.2795	0.4219	0.9546	0.2795
1.75	5296	19292	836	14832	0.6108	0.8637	0.2631	0.4034	0.9585	0.2631
1.8	4960	19364	764	15168	0.6042	0.8665	0.2464	0.3837	0.9620	0.2464
1.85	4636	19429	699	15492	0.5978	0.8690	0.2303	0.3641	0.9653	0.2303
1.9000000000000001	4349	19487	641	15779	0.5921	0.8715	0.2161	0.3463	0.9682	0.2161
1.9500000000000002	4091	19542	586	16037	0.5871	0.8747	0.2032	0.3299	0.9709	0.2032
2.0	3836	19588	540	16292	0.5819	0.8766	0.1906	0.3131	0.9732	0.1906
2.0500000000000003	3597	19629	499	16531	0.5770	0.8782	0.1787	0.2970	0.9752	0.1787
2.1	3373	19666	462	16755	0.5723	0.8795	0.1676	0.2815	0.9770	0.1676
2.15	3140	19704	424	16988	0.5675	0.8810	0.1560	0.2651	0.9789	0.1560
2.2	2917	19747	381	17211	0.5630	0.8845	0.1449	0.2490	0.9811	0.1449
2.25	2725	19789	339	17403	0.5593	0.8894	0.1354	0.2350	0.9832	0.1354
2.3000000000000003	2557	19814	314	17571	0.5557	0.8906	0.1270	0.2224	0.9844	0.1270
2.35	2372	19840	288	17756	0.5518	0.8917	0.1178	0.2082	0.9857	0.1178
2.4000000000000004	2216	19862	266	17912	0.5484	0.8928	0.1101	0.1960	0.9868	0.1101
2.45	2059	19885	243	18069	0.5451	0.8944	0.1023	0.1836	0.9879	0.1023
